player,team,games,mp,ws48,mpg
Jabari Smith Jr.,HOU,57,1716,0.117,30.105263157894736
Anthony Davis,2TM,51,1706,0.188,33.450980392156865
Bradley Beal,PHO,53,1702,0.068,32.113207547169814
Georges Niang,2TM,79,1697,0.081,21.481012658227847
Jakob Poeltl,TOR,57,1686,0.158,29.57894736842105
Scotty Pippen Jr.,MEM,79,1683,0.133,21.303797468354432
Kevin Huerter,2TM,69,1679,0.054,24.333333333333332
Santi Aldama,MEM,65,1660,0.144,25.53846153846154
A.J. Green,MIL,73,1659,0.082,22.726027397260275
Al Horford,BOS,60,1659,0.129,27.65
Terry Rozier,MIA,64,1658,0.029,25.90625
Peyton Watson,DEN,68,1656,0.073,24.352941176470587
Moses Moody,GSW,74,1649,0.102,22.283783783783782
Tristan Da Silva,ORL,74,1629,0.073,22.013513513513512
Donte DiVincenzo,MIN,62,1606,0.115,25.903225806451612
Isaiah Joe,OKC,74,1604,0.153,21.675675675675677
Corey Kispert,WAS,61,1602,0.032,26.262295081967213
Caris LeVert,2TM,64,1596,0.119,24.9375
